,sim_type,NUM_STATIONS,BITRATE,QUEUE_CAPACITY,MEAN_ARRIVAL_TIME,STD_ARRIVAL_TIME,MEAN_PACKET_SIZE,STD_PACKET_SIZE,END2END_DELAY
0,FIXED_PACKET_SIZE,2,50,6,5,5,40,40,0.206854976041641
1,FIXED_PACKET_SIZE,2,50,8,5,5,40,40,0.20486966704909568
2,FIXED_PACKET_SIZE,2,50,10,5,5,40,40,0.20645350085715705
3,FIXED_PACKET_SIZE,2,60,6,5,5,40,40,0.16919052327062176
4,FIXED_PACKET_SIZE,2,60,8,5,5,40,40,0.1750507956456783
5,FIXED_PACKET_SIZE,2,60,10,5,5,40,40,0.16173813087801053
6,FIXED_PACKET_SIZE,2,80,6,5,5,40,40,0.13204317286792155
7,FIXED_PACKET_SIZE,2,80,8,5,5,40,40,0.12978992556416372
8,FIXED_PACKET_SIZE,2,80,10,5,5,40,40,0.13157658100675085
9,FIXED_PACKET_SIZE,2,90,6,5,5,40,40,0.11377892146334567
10,FIXED_PACKET_SIZE,2,90,8,5,5,40,40,0.11458039470855765
11,FIXED_PACKET_SIZE,2,90,10,5,5,40,40,0.11029187542045273
